player_name,player_lastname,birthdate,player_age,player_position,team_id,country_id,height
John,Doe,1998-03-15,24,Forward,7,25,1.85
Michael,Johnson,2000-05-10,22,Midfielder,15,42,1.91
Daniel,Wilson,1999-02-28,23,Defender,28,10,1.80
Matthew,Martinez,2000-04-18,22,Goalkeeper,4,37,1.82
James,Miller,1998-06-08,24,Forward,21,5,1.87
Li,Wei,2000-01-15,22,Midfielder,10,20,1.73
Carlos,Rodriguez,1999-04-18,23,Defender,36,7,1.79
Ryota,Tanaka,1998-08-10,24,Forward,12,11,1.72
Alejandro,Martinez,1998-05-05,24,Midfielder,19,7,1.77
Kim,Joon,1999-12-12,22,Defender,28,33,1.68
David,Garcia,1997-11-20,25,Midfielder,11,4,1.76
Liu,Chen,2001-08-05,21,Forward,2,19,1.79
Gabriel,Silva,1998-09-12,24,Defender,13,8,1.85
Hiroshi,Yamamoto,1999-06-28,23,Forward,14,15,1.81
Mateo,Lopez,1999-04-02,23,Goalkeeper,15,2,1.88
Kang,Min,2000-03-15,22,Midfielder,16,10,1.74
Andres,Torres,1998-07-03,24,Defender,17,9,1.82
Jin,Lee,2000-12-08,21,Forward,18,1,1.76
Giovanni,Ricci,1998-10-22,24,Midfielder,19,7,1.79
Mohamed,Ali,1999-01-30,23,Goalkeeper,20,2,1.88
Antonio,Fernandez,2000-02-14,22,Midfielder,21,9,1.75
Wei,Cheng,1999-07-18,23,Defender,22,1,1.82
Lucas,Morales,1997-04-09,25,Forward,23,9,1.80
Yuki,Nakamura,1998-05-28,24,Midfielder,24,11,1.77
Alejandro,Ruiz,1999-09-20,23,Defender,25,9,1.83
Fernando,Gomez,1998-08-10,24,Midfielder,26,9,1.78
Chen,Wang,2000-02-05,22,Forward,27,1,1.81
Matias,Rodriguez,1999-09-18,23,Defender,28,4,1.84
Kenta,Ishikawa,1998-06-25,24,Forward,29,11,1.77
Luis,Perez,1997-05-02,25,Goalkeeper,30,9,1.89
Min,Jung,2000-03-22,22,Midfielder,31,10,1.75
Jose,Sanchez,1998-11-30,24,Defender,32,9,1.82
Takumi,Yamada,2001-01-15,22,Forward,33,11,1.79
Giovanni,Moreno,1999-04-28,23,Midfielder,34,4,1.80
Ali,Ahmed,1998-02-10,24,Goalkeeper,35,2,1.86
Pablo,Garcia,2000-02-14,22,Midfielder,36,9,1.75
Cheng,Li,1999-06-18,23,Defender,37,1,1.81
Carlos,Fernandez,1997-01-09,25,Forward,38,9,1.82
Takashi,Suzuki,1998-11-28,24,Midfielder,39,11,1.77
Javier,Lopez,1999-09-10,23,Defender,40,9,1.84
Joaquin,Hernandez,2000-08-12,22,Forward,41,9,1.79
Wei,Zhang,1999-03-28,23,Midfielder,42,1,1.76
Lucas,Martinez,1998-09-15,24,Defender,13,9,1.83
Haruto,Takahashi,1997-05-10,25,Goalkeeper,14,11,1.88
Rafael,Gomez,2001-02-22,21,Midfielder,15,4,1.77
Hao,Lee,1999-01-18,23,Forward,16,10,1.82
Diego,Rodriguez,1997-11-03,25,Defender,21,9,1.85
Yuki,Ito,2000-07-12,22,Goalkeeper,23,11,1.90
Mario,Bianchi,1998-04-28,24,Midfielder,29,7,1.78
Ahmed,Al-Farsi,1997-10-15,25,Defender,31,18,1.81
Enrique,Gonzalez,1999-12-10,23,Forward,15,22,1.80
Lei,Wang,1998-02-14,24,Midfielder,12,36,1.76
Miguel,Sanchez,1997-07-29,25,Goalkeeper,28,49,1.89
Yusuf,Khan,2000-03-18,22,Forward,8,17,1.77
Antonio,Martin,1998-11-30,24,Midfielder,21,29,1.82
Kazuhiro,Yamamoto,2001-01-15,22,Defender,35,2,1.79
Giuseppe,Ricci,1999-04-28,23,Forward,14,44,1.80
Ali,Al-Mansoori,1998-02-10,24,Midfielder,16,14,1.86
Felipe,Gutierrez,2000-02-20,22,Defender,10,23,1.84
Jin,Zhao,1997-06-18,25,Forward,2,19,1.81
